question_set_edition	tournament	room	round	packet	tossup	answer	words	category	subcategory	subsubcategory	team	player	buzz_value	buzz_location	buzz_location_pct	bounceback	answer_given	protested
2018-01-20	Toronto	2	3	I	12	Niagara Falls	126	History	US History		Waterloo A	Erik Christensen	10	87	0.69			
2018-01-20	Toronto	2	3	I	13	arthropods	132	Science	Biology		Waterloo A	Nicholas Sunderland	10	121	0.917			
2018-01-20	Toronto	2	3	I	14	Pythagorean school	112	RMPSS	Religion		Waterloo A	Erik Christensen	10	84	0.75			
2018-01-20	Toronto	2	3	I	15	Bashō’s frog haiku	152	Literature	Non-Epic Poetry		Waterloo A	Cole Lloyd Bedard Jackes	10					
2018-01-20	Toronto	2	3	I	17	combs	144	RMPSS	Mythology		Waterloo A	Nicholas Sunderland	-5	115	0.799			
2018-01-20	Toronto	2	3	I	18	Senegal River	139	History	Other History		Waterloo A	Erik Christensen	-5	94	0.676			
2018-01-20	Toronto	2	3	I	19	Paul Cézanne	155	Arts	Painting/Sculpture		Waterloo A	Cole Lloyd Bedard Jackes	0	155	1.0			
2018-01-20	Toronto	2	4	H	1	Mughal emperor	134	Arts	Other Art	Other Visual	Waterloo B	Kanav Petkar	-5	101	0.754			
2018-01-20	Toronto	2	4	H	2	Kuwait	125	History	Other History		Waterloo B	Zach Bernstein	-5	119	0.952			
2018-01-20	Toronto	2	4	H	4	Tibet	142	RMPSS	Mythology		Waterloo B	Kanav Petkar	10	142	1.0	bounceback		
2018-01-20	Toronto	2	4	H	7	theaters	154	Arts	Painting/Sculpture		Waterloo B	Leo Ortego	0	154	1.0	bounceback		
2018-01-20	Toronto	2	4	H	13	two violins	143	Arts	Music		Waterloo B	Zach Bernstein	-5	140	0.979			
2018-01-20	Toronto	2	4	H	17	Major Barbara	151	Literature	Drama		Waterloo B	Zach Bernstein	10	61	0.404			
2018-01-20	Toronto	2	4	H	18	Kenya	135	Other	Geography		Waterloo B	Kanav Petkar	10	21	0.156	bounceback		
2018-01-20	Toronto	2	4	H	19	Nicolas Malebranche	148	RMPSS	Philosophy		Waterloo B	Zach Bernstein	-5	146	0.986			
2018-01-20	Toronto	2	4	H	1	Mughal emperor	134	Arts	Other Art	Other Visual	Waterloo A	Erik Christensen	10	134	1.0	bounceback		
2018-01-20	Toronto	2	4	H	2	Kuwait	125	History	Other History		Waterloo A	Erik Christensen	10	125	1.0	bounceback		
2018-01-20	Toronto	2	4	H	4	Tibet	142	RMPSS	Mythology		Waterloo A	Nicholas Sunderland	-5	76	0.535			
2018-01-20	Toronto	2	4	H	5	Wallace Stevens	151	Literature	Non-Epic Poetry		Waterloo A	Erik Christensen	10	151	1.0			
2018-01-20	Toronto	2	4	H	6	valleys	146	RMPSS	Religion		Waterloo A	Cole Lloyd Bedard Jackes	10	126	0.863			
2018-01-20	Toronto	2	4	H	7	theaters	154	Arts	Painting/Sculpture		Waterloo A	Cole Lloyd Bedard Jackes	-5	125	0.812			
2018-01-20	Toronto	2	4	H	8	David Hilbert	134	Science	Other Science	Math	Waterloo A	Nicholas Sunderland	10	85	0.634			
2018-01-20	Toronto	2	4	H	9	Henry	143	History	Continental European History (post-600 CE)		Waterloo A	Erik Christensen	10	105	0.734			
2018-01-20	Toronto	2	4	H	10	superconducting critical temperature	125	Science	Physics		Waterloo A	Cole Lloyd Bedard Jackes	0	125	1.0			
2018-01-20	Toronto	2	4	H	11	Commodus	119	History	Continental or Near Eastern History (pre-600 CE)		Waterloo A	Cole Lloyd Bedard Jackes	10	118	0.992			
2018-01-20	Toronto	2	4	H	12	iron	133	Science	Chemistry		Waterloo A	Nicholas Sunderland	10	126	0.947			
2018-01-20	Toronto	2	4	H	15	Middletown	146	RMPSS	Social Science		Waterloo A	Cole Lloyd Bedard Jackes	-5	129	0.884			
2018-01-20	Toronto	2	4	H	16	Bonus Army	138	History	US History		Waterloo A	Erik Christensen	10	124	0.899			
2018-01-20	Toronto	2	4	H	18	Kenya	135	Other	Geography		Waterloo A	Erik Christensen	-5	135	1.0			
2018-01-20	Toronto	2	4	H	19	Nicolas Malebranche	148	RMPSS	Philosophy		Waterloo A	Cole Lloyd Bedard Jackes	0	148	1.0	bounceback		
2018-01-20	Toronto	2	4	H	20	monoclonal antibody	132	Science	Biology		Waterloo A	Nicholas Sunderland	10	132	1.0			
2018-01-20	Toronto	2	5	N	1	turbulent flow	129	Science	Physics		Waterloo B	Zach Bernstein	0	129	1.0			
2018-01-20	Toronto	2	5	N	6	Finland	135	History	Continental European History (post-600 CE)		Waterloo B	Zach Bernstein	10	135	1.0	bounceback		
2018-01-20	Toronto	2	5	N	8	The Naked and the Dead	161	Literature	Long Fiction		Waterloo B	Zach Bernstein	0	161	1.0			
2018-01-20	Toronto	2	5	N	10	Inca empire	140	History	Historiography and Archaeology		Waterloo B	Kanav Petkar	10			bounceback		
2018-01-20	Toronto	2	5	N	11	Rubaiyat of Omar Khayyám	129	Literature	Non-Epic Poetry		Waterloo B	Kanav Petkar	0	129	1.0			
2018-01-20	Toronto	2	5	N	12	piano	138	Arts	Other Art	Jazz	Waterloo B	Zach Bernstein	10	104	0.754			
2018-01-20	Toronto	2	5	N	16	ionosphere	125	Science	Other Science	Earth Science	Waterloo B	Zach Bernstein	0	125	1.0			
2018-01-20	Toronto	2	5	N	17	Chinua Achebe	157	Literature	Long Fiction		Waterloo B	Zach Bernstein	10	141	0.898			
2018-01-20	Toronto	2	5	N	19	Skepticism	128	RMPSS	Philosophy		Waterloo B	Zach Bernstein	10	128	1.0	bounceback		
2018-01-20	Toronto	2	5	N	20	Elizabeth Cady Stanton	133	RMPSS	Social Science		Waterloo B	Zach Bernstein	-5	126	0.947			
2018-01-20	Toronto	2	5	N	1	turbulent flow	129	Science	Physics		Toronto B	Luc	0	129	1.0			
2018-01-20	Toronto	2	5	N	2	Ecclesiastes	143	RMPSS	Religion		Toronto B	Sam	0	143	1.0			
2018-01-20	Toronto	2	5	N	3	Lady Macbeth	141	Literature	Miscellaneous Lit		Toronto B	Sam	10	63	0.447			
2018-01-20	Toronto	2	5	N	4	Wolfgang Amadeus Mozart’s Requiem in D minor	137	Arts	Music		Toronto B	Sam	10	73	0.533			
2018-01-20	Toronto	2	5	N	5	Rage Against the Machine	161	Other	Trash		Toronto B	Luc	10	107	0.665			
2018-01-20	Toronto	2	5	N	6	Finland	135	History	Continental European History (post-600 CE)		Toronto B	Luc	-5	113	0.837			
2018-01-20	Toronto	2	5	N	7	chirality	128	Science	Chemistry		Toronto B	Wentao	10	87	0.68			
2018-01-20	Toronto	2	5	N	8	The Naked and the Dead	161	Literature	Long Fiction		Toronto B	Luc	0	161	1.0			
2018-01-20	Toronto	2	5	N	9	skeletons	143	Arts	Painting/Sculpture		Toronto B	Sam	10	143	1.0			
2018-01-20	Toronto	2	5	N	10	Inca empire	140	History	Historiography and Archaeology		Toronto B	Sam	-5	57	0.407			
